vessel_id,synthetic_vessel_id,vessel_name,vessel_class,vessel_type,length_m,beam_m,draft_m,container_capacity,containers_to_handle,priority,synthetic
00000000-0000-0000-0000-0000000003e8,SYN-IMO-980000,Pacific Pioneer,Feeder,container,150.5,23.1,9.22,1102,309,critical,True
00000000-0000-0000-0000-0000000003e9,SYN-IMO-980001,Atlantic Mariner,Ultra-Large,container,340.6,46.4,15.23,11863,1193,high,True
00000000-0000-0000-0000-0000000003ea,SYN-IMO-980002,Straits Horizon,Ultra-Large,container,344.4,48.4,15.81,11853,1090,normal,True
00000000-0000-0000-0000-0000000003eb,SYN-IMO-980003,Ocean Voyager,Post-Panamax,container,295.6,40.9,14.26,7402,723,normal,True
00000000-0000-0000-0000-0000000003ec,SYN-IMO-980004,Northern Trader,Post-Panamax,container,306.9,42.4,14.31,7585,837,high,True
00000000-0000-0000-0000-0000000003ed,SYN-IMO-980005,Eastern Express,Ultra-Large,container,341.6,47.2,15.63,12035,1197,high,True
00000000-0000-0000-0000-0000000003ee,SYN-IMO-980006,Southern Cross,Feeder,container,150.9,22.9,9.29,1090,229,low,True
00000000-0000-0000-0000-0000000003ef,SYN-IMO-980007,Western Pearl,Ultra-Large,container,345.6,48.5,15.36,12039,1140,high,True
00000000-0000-0000-0000-0000000003f0,SYN-IMO-980008,Harbor Titan,Post-Panamax,container,304.0,42.7,13.57,7437,836,normal,True
00000000-0000-0000-0000-0000000003f1,SYN-IMO-980009,Maritime Star,Panamax,container,249.2,31.1,12.43,4335,456,normal,True
00000000-0000-0000-0000-0000000003f2,SYN-IMO-980010,Global Stream,Feeder,container,154.6,22.1,9.32,1187,186,high,True
00000000-0000-0000-0000-0000000003f3,SYN-IMO-980011,Equator Explorer,Post-Panamax,container,294.3,42.0,14.38,7584,736,high,True
00000000-0000-0000-0000-0000000003f4,SYN-IMO-980012,Zenith Runner,Panamax,container,254.9,32.2,12.25,4269,549,normal,True
00000000-0000-0000-0000-0000000003f5,SYN-IMO-980013,Polaris Navigator,Panamax,container,259.9,30.6,11.99,4074,428,high,True
00000000-0000-0000-0000-0000000003f6,SYN-IMO-980014,Apex Sentinel,Panamax,container,255.8,31.7,11.56,4245,519,normal,True
00000000-0000-0000-0000-0000000003f7,SYN-IMO-980015,Solaris Trader,Feeder,container,163.6,22.5,9.88,1186,257,high,True
00000000-0000-0000-0000-0000000003f8,SYN-IMO-980016,Titan Express,Ultra-Large,container,343.2,46.0,15.72,11984,1178,normal,True
00000000-0000-0000-0000-0000000003f9,SYN-IMO-980017,Echo Leader,Feeder,container,167.4,23.2,9.64,1151,209,normal,True
00000000-0000-0000-0000-0000000003fa,SYN-IMO-980018,Bravo Navigator,Panamax,container,250.8,33.1,12.03,4050,482,normal,True
00000000-0000-0000-0000-0000000003fb,SYN-IMO-980019,Delta Carrier,Feeder,container,168.6,25.5,9.83,1207,231,critical,True
00000000-0000-0000-0000-0000000003fc,SYN-IMO-980020,Alpha Voyager,Feeder,container,151.7,23.9,9.07,1322,202,high,True
